Rn,seasonType,leagueId,eventId,date,venueId,attendance,homeTeamId,awayTeamId,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,homeTeamShootoutScore,awayTeamShootoutScore,statusId,updateTime
20,12136,3922,693583,2024-01-07 16:00:00,1561,1700,2620,5778,True,False,2,0,0,0,28,2024-01-10 21:38:18
21,12136,3922,694615,2024-01-07 16:00:00,-1,0,2570,6167,True,False,1,0,0,0,28,2024-01-10 21:38:19
22,12136,3922,693958,2024-01-07 20:00:00,9870,0,2869,7368,False,False,0,0,0,0,5,2024-01-07 03:23:37
23,12136,3922,694560,2024-01-08 12:00:00,4775,0,2847,657,True,False,2,0,0,0,28,2024-01-10 21:38:39
24,12136,3922,694649,2024-01-08 14:00:00,9881,0,4245,8939,False,False,1,1,0,0,28,2024-01-10 21:38:40
25,12136,3922,694650,2024-01-08 17:30:00,9882,0,4380,2405,False,False,2,2,0,0,28,2024-01-10 21:38:40
26,12136,3922,693959,2024-01-08 18:00:00,9055,0,654,8937,True,False,1,0,0,0,28,2024-01-10 21:38:42
27,12136,3922,690268,2024-01-08 20:00:00,-1,0,656,8938,False,False,0,0,0,0,5,2024-01-20 03:20:50
28,12136,3922,693926,2024-01-08 20:00:00,5344,0,4469,4245,False,False,0,0,0,0,5,2024-01-07 03:23:56
29,12136,3922,694557,2024-01-08 20:00:00,7092,30000,4469,6725,False,False,0,0,0,0,28,2024-01-10 21:38:43
30,12136,3922,692531,2024-01-09 11:30:00,9885,0,627,2917,True,False,6,1,0,0,28,2024-01-10 21:38:54
31,12136,3922,693927,2024-01-09 13:00:00,6755,0,4277,656,False,False,1,1,0,0,28,2024-01-10 21:38:55
32,12136,3922,694654,2024-01-09 13:00:00,-1,0,6724,7349,True,False,2,1,0,0,28,2024-01-10 21:38:54
33,12136,3922,694655,2024-01-09 14:00:00,-1,0,8938,5775,False,False,1,1,0,0,28,2024-01-10 21:38:55
34,12136,3922,693974,2024-01-09 15:00:00,9886,0,4895,469,False,True,0,5,0,0,28,2024-01-10 21:38:56
35,12136,3922,694554,2024-01-09 15:00:00,8236,0,5779,624,False,True,0,4,0,0,28,2024-01-13 03:22:21
36,12136,3922,690848,2024-01-09 15:30:00,9876,0,655,6167,False,False,0,0,0,0,28,2024-01-10 21:38:57
37,12136,3922,694558,2024-01-10 13:00:00,4309,0,467,6640,False,False,0,0,0,0,28,2024-01-13 03:22:44
38,12136,3922,694656,2024-01-10 13:00:00,-1,0,2850,2845,False,True,1,2,0,0,28,2024-01-13 03:22:44
39,12136,3922,695550,2024-01-10 14:00:00,-1,0,4381,653,False,True,0,3,0,0,28,2024-01-10 21:39:13
40,12136,3922,690849,2024-01-10 15:30:00,9876,0,655,1928,True,False,2,0,0,0,28,2024-01-10 21:39:14
41,12136,3922,693960,2024-01-10 17:30:00,6839,0,659,2597,True,False,2,0,0,0,28,2024-01-10 21:39:14
42,12136,3922,694616,2024-01-11 15:00:00,8298,0,2869,8600,True,False,3,1,0,0,28,2024-01-13 03:22:58
43,12136,3922,694618,2024-01-12 16:00:00,-1,0,2621,841,True,False,3,1,0,0,28,2024-01-13 03:23:09
44,12136,3922,690688,2024-01-12 18:00:00,9850,100,466,444,True,False,2,1,0,0,28,2024-01-13 03:23:10
45,12136,3922,690687,2024-01-14 00:00:00,8330,4000,2652,470,False,True,0,1,0,0,28,2024-01-15 12:06:03
46,12136,3922,690571,2024-01-18 01:00:00,8330,7000,215,470,False,True,0,2,0,0,28,2024-01-19 03:27:42
47,12136,3922,697127,2024-01-19 16:00:00,1561,0,841,4211,False,True,0,2,0,0,28,2024-01-20 03:26:56
48,12136,3922,690424,2024-01-20 20:00:00,6451,9191,660,472,False,True,0,1,0,0,28,2024-02-04 03:25:09
49,12136,3922,691170,2024-02-03 02:00:00,4820,13500,214,2650,True,False,2,0,0,0,28,2024-02-06 03:33:54
50,12136,3922,699337,2024-03-01 19:00:00,9911,0,2627,1038,False,True,0,1,0,0,28,2024-03-02 03:46:40
51,12136,3922,699734,2024-03-03 20:00:00,4945,0,2627,1038,False,False,0,0,0,0,28,2024-03-04 03:44:45
52,12136,3922,698280,2024-03-14 15:00:00,5344,0,2619,7507,False,False,0,0,0,0,5,2024-03-14 02:50:58
53,12136,3922,701267,2024-03-14 19:00:00,-1,0,4319,5783,True,False,3,0,0,0,28,2024-03-25 02:32:28
54,12136,3922,700804,2024-03-17 18:30:00,-1,0,18243,8942,False,False,0,0,0,0,6,2024-03-31 02:32:51
55,12136,3922,700805,2024-03-18 04:00:00,-1,0,4861,4862,True,False,2,1,0,0,28,2024-03-31 02:34:42
56,12136,3922,700585,2024-03-20 19:45:00,-1,0,588,2662,False,True,1,3,0,0,28,2024-03-31 02:35:16
57,12136,3922,700586,2024-03-20 23:00:00,-1,0,2650,19314,False,False,1,1,0,0,28,2024-03-31 02:35:17
58,12136,3922,700806,2024-03-21 02:00:00,-1,0,4861,4862,False,True,0,2,0,0,28,2024-03-31 02:35:18
59,12136,3922,701196,2024-03-21 12:00:00,-1,0,5777,6640,False,True,1,2,0,0,28,2024-03-22 02:45:22
60,12136,3922,693345,2024-03-21 17:00:00,8111,23679,454,6757,True,False,4,0,0,0,28,2024-03-22 02:45:23
61,12136,3922,693934,2024-03-21 17:00:00,6791,0,445,456,False,False,1,1,0,0,28,2024-03-24 02:45:48
62,12136,3922,698281,2024-03-21 17:00:00,7614,0,583,6775,False,True,0,2,0,0,28,2024-03-31 02:35:57
63,12136,3922,697788,2024-03-21 18:00:00,1557,1652,453,472,False,False,2,2,0,0,28,2024-03-22 02:45:24
64,12136,3922,700587,2024-03-21 19:00:00,-1,0,2597,2653,True,False,1,0,0,0,28,2024-03-22 02:45:24
65,12136,3922,700807,2024-03-21 19:00:00,-1,0,2847,4864,True,False,6,0,0,0,28,2024-03-22 02:45:25
66,12136,3922,690340,2024-03-21 19:45:00,4723,27532,482,466,True,False,5,2,0,0,28,2024-03-23 15:04:43
67,12136,3922,698287,2024-03-21 21:00:00,9516,2500,587,467,False,False,1,1,0,0,28,2024-03-31 02:36:02
68,12136,3922,698418,2024-03-21 21:00:00,8330,30000,162,213,True,False,2,1,0,0,28,2024-03-31 02:36:04
69,12136,3922,698420,2024-03-22 00:30:00,4653,23000,209,2652,True,False,2,0,0,0,28,2024-03-27 02:36:13
70,12136,3922,700588,2024-03-22 01:30:00,-1,0,11766,2641,False,False,1,1,0,0,28,2024-03-23 02:44:53
71,12136,3922,700808,2024-03-22 10:00:00,-1,0,10528,5784,True,False,6,0,0,0,28,2024-03-23 02:45:38
72,12136,3922,700809,2024-03-22 10:00:00,-1,0,5533,5779,True,False,1,0,0,0,28,2024-03-23 02:45:39
73,12136,3922,697519,2024-03-22 13:00:00,5133,154,5778,462,False,True,0,1,0,0,28,2024-03-23 02:45:40
74,12136,3922,700811,2024-03-22 13:00:00,-1,0,4245,2851,False,False,0,0,0,0,28,2024-03-23 02:45:39
75,12136,3922,699068,2024-03-22 14:30:00,7614,0,463,483,False,False,1,1,0,0,28,2024-03-23 15:05:32
76,12136,3922,700813,2024-03-22 15:15:00,-1,0,4885,5782,False,False,0,0,0,0,28,2024-03-25 02:41:46
77,12136,3922,698485,2024-03-22 16:00:00,4471,0,579,18272,False,True,0,1,0,0,28,2024-03-31 02:36:50
78,12136,3922,699128,2024-03-22 16:00:00,3806,0,581,8663,True,False,1,0,0,0,28,2024-03-25 02:41:47
79,12136,3922,700491,2024-03-22 16:00:00,5316,350,657,4469,True,False,2,1,0,0,28,2024-03-31 02:36:51
80,12136,3922,694651,2024-03-22 17:00:00,1392,11891,464,450,False,True,1,2,0,0,28,2024-03-29 02:37:15
81,12136,3922,698138,2024-03-22 17:00:00,7361,0,589,447,False,True,0,4,0,0,28,2024-03-23 15:05:36
82,12136,3922,700810,2024-03-22 19:00:00,-1,0,5518,8938,False,True,0,2,0,0,28,2024-03-23 02:45:45
83,12136,3922,700814,2024-03-22 19:00:00,-1,0,2643,10525,True,False,2,0,0,0,28,2024-03-23 02:45:44
84,12136,3922,699778,2024-03-22 19:30:00,2400,3758,654,4231,True,False,3,0,0,0,28,2024-03-23 15:05:38
85,12136,3922,690894,2024-03-22 19:45:00,50,46223,449,580,True,False,4,0,0,0,28,2024-03-23 15:05:41
86,12136,3922,690928,2024-03-22 19:45:00,4657,30439,473,586,False,False,1,1,0,0,28,2024-03-23 02:45:48
87,12136,3922,698532,2024-03-22 19:45:00,8121,67215,480,465,True,False,1,0,0,0,28,2024-04-20 02:27:56
88,12136,3922,699075,2024-03-22 19:45:00,2594,17000,585,207,False,True,0,3,0,0,28,2024-03-29 02:37:20
89,12136,3922,699076,2024-03-22 20:00:00,9932,30200,2620,2666,True,False,1,0,0,0,28,2024-03-23 02:45:48
90,12136,3922,698122,2024-03-22 20:30:00,6660,44000,164,208,False,True,0,1,0,0,28,2024-03-29 02:37:24
91,12136,3922,698288,2024-03-22 21:00:00,9487,17000,624,204,True,False,3,2,0,0,28,2024-03-31 02:37:01
92,12136,3922,700815,2024-03-22 21:00:00,-1,0,8601,4211,True,False,4,0,0,0,28,2024-03-23 02:45:50
93,12136,3922,700816,2024-03-22 21:00:00,-1,0,8937,4356,False,True,1,2,0,0,28,2024-03-31 02:37:02
94,12136,3922,699100,2024-03-22 22:00:00,5368,36786,2869,653,True,False,1,0,0,0,28,2024-03-31 02:37:04
95,12136,3922,700812,2024-03-22 22:00:00,-1,0,2845,2621,False,True,1,2,0,0,28,2024-03-23 02:45:51
96,12136,3922,700817,2024-03-22 22:00:00,-1,0,8940,2849,False,True,0,2,0,0,28,2024-03-23 02:45:52
97,12136,3922,699139,2024-03-23 00:00:00,1421,10000,202,2650,True,False,3,0,0,0,28,2024-03-23 02:45:53
98,12136,3922,697143,2024-03-23 01:30:00,5580,33900,211,2658,True,False,2,0,0,0,28,2024-03-23 15:05:48
99,12136,3922,700714,2024-03-23 12:00:00,9788,21000,4277,4214,False,True,2,2,5,6,47,2024-03-31 02:37:41
100,12136,3922,700715,2024-03-23 15:00:00,9788,27000,4325,2848,False,True,0,4,0,0,28,2024-03-24 02:47:22
101,12136,3922,699773,2024-03-23 16:00:00,2400,4100,4789,2844,False,False,2,2,0,0,28,2024-03-25 02:42:37
102,12136,3922,693341,2024-03-23 17:00:00,4228,38128,476,459,False,False,0,0,0,0,28,2024-03-31 02:37:43
103,12136,3922,693430,2024-03-23 17:00:00,8451,28000,468,474,False,True,0,2,0,0,28,2024-03-24 02:47:24
104,12136,3922,689956,2024-03-23 19:00:00,3703,83664,448,205,False,True,0,1,0,0,28,2024-03-30 02:36:46
105,12136,3922,691328,2024-03-23 19:00:00,2209,30731,479,475,False,False,0,0,0,0,28,2024-03-24 02:47:25
106,12136,3922,690850,2024-03-23 20:00:00,6499,56000,478,481,False,True,0,2,0,0,28,2024-03-29 02:38:13
107,12136,3922,699074,2024-03-23 20:00:00,1561,4300,659,477,False,True,0,0,4,5,47,2024-03-24 02:47:27
108,12136,3922,701238,2024-03-23 20:00:00,-1,0,10532,2654,False,False,1,1,0,0,28,2024-03-24 02:47:27
109,12136,3922,700818,2024-03-23 22:00:00,-1,0,2649,2642,True,False,2,0,0,0,28,2024-03-31 02:37:49
110,12136,3922,701264,2024-03-24 13:00:00,-1,0,5777,6640,True,False,2,1,0,0,28,2024-03-25 02:44:22
111,12136,3922,700819,2024-03-24 17:30:00,-1,0,2664,2728,False,False,1,1,0,0,28,2024-03-25 02:44:22
112,12136,3922,700820,2024-03-24 19:45:00,-1,0,588,2662,False,False,0,0,0,0,28,2024-03-25 02:44:23
113,12136,3922,698419,2024-03-24 20:00:00,4653,18000,209,162,False,True,0,2,0,0,28,2024-03-25 02:44:23
114,12136,3922,698430,2024-03-24 22:00:00,4791,0,2652,213,False,False,0,0,0,0,28,2024-03-25 02:44:24
115,12136,3922,700821,2024-03-25 00:00:00,-1,0,11766,2641,False,True,0,3,0,0,28,2024-03-26 02:42:16
116,12136,3922,700822,2024-03-25 10:00:00,-1,0,5779,4245,False,False,0,0,0,0,28,2024-03-26 02:42:50
117,12136,3922,700823,2024-03-25 10:00:00,-1,0,10528,4885,True,False,4,0,0,0,28,2024-03-31 02:40:22
118,12136,3922,699101,2024-03-25 13:00:00,5133,146,5778,8663,True,False,3,0,0,0,28,2024-03-26 02:42:51
119,12136,3922,700824,2024-03-25 13:00:00,-1,0,5533,2851,False,True,0,2,0,0,28,2024-03-26 02:42:51
120,12136,3922,700825,2024-03-25 15:15:00,-1,0,5784,5782,False,True,0,2,0,0,28,2024-03-26 02:42:52
121,12136,3922,697520,2024-03-25 16:00:00,3806,3220,581,462,False,False,1,1,0,0,28,2024-03-26 02:42:52
122,12136,3922,693346,2024-03-25 17:00:00,6791,1938,445,6757,False,True,0,1,0,0,28,2024-03-26 02:42:53
123,12136,3922,698282,2024-03-25 17:00:00,7614,0,6775,463,True,False,1,0,0,0,28,2024-03-26 02:42:54
124,12136,3922,699073,2024-03-25 17:00:00,-1,0,454,210,False,False,0,0,0,0,5,2024-03-31 02:40:27
125,12136,3922,698123,2024-03-25 18:00:00,4982,17892,466,585,True,False,1,0,0,0,28,2024-03-31 02:40:27
126,12136,3922,700827,2024-03-25 19:00:00,-1,0,2597,8938,True,False,1,0,0,0,28,2024-03-26 02:42:56
127,12136,3922,700828,2024-03-25 19:00:00,-1,0,2847,2643,True,False,5,1,0,0,28,2024-03-26 02:42:56
128,12136,3922,700829,2024-03-25 19:30:00,-1,0,4231,4276,False,False,1,1,0,0,28,2024-03-26 02:42:57
129,12136,3922,698289,2024-03-25 21:00:00,9516,2500,204,587,True,False,1,0,0,0,28,2024-03-31 02:40:30
130,12136,3922,700826,2024-03-25 21:00:00,-1,0,8601,653,False,False,0,0,0,0,28,2024-03-26 02:42:58
131,12136,3922,701268,2024-03-25 22:00:00,-1,0,8602,4319,True,False,2,1,0,0,28,2024-03-26 02:42:58
132,12136,3922,701281,2024-03-26 12:00:00,9788,0,4277,4325,True,False,2,1,0,0,28,2024-03-29 02:41:16
133,12136,3922,700998,2024-03-26 14:00:00,7614,0,2646,483,False,True,0,4,0,0,28,2024-03-27 02:40:37
134,12136,3922,701282,2024-03-26 15:00:00,9788,0,2848,4214,True,False,3,1,0,0,28,2024-03-27 02:40:37
135,12136,3922,700484,2024-03-26 16:00:00,5316,40,4211,4469,False,False,2,2,0,0,28,2024-03-30 02:39:52
136,12136,3922,698618,2024-03-26 17:00:00,1689,0,456,589,False,False,1,1,0,0,28,2024-03-27 02:40:39
137,12136,3922,701211,2024-03-26 17:00:00,5092,12559,458,444,True,False,2,1,0,0,28,2024-03-31 02:40:57
138,12136,3922,694652,2024-03-26 18:00:00,1392,9099,464,468,False,False,1,1,0,0,28,2024-03-31 02:41:00
139,12136,3922,697777,2024-03-26 18:00:00,1557,0,453,583,False,False,0,0,0,0,28,2024-03-27 02:40:40
140,12136,3922,698483,2024-03-26 18:00:00,8121,67215,480,18272,True,False,2,0,0,0,28,2024-03-27 02:40:39
141,12136,3922,694653,2024-03-26 19:00:00,4523,16158,450,579,True,False,2,1,0,0,28,2024-03-27 02:40:42
142,12136,3922,700830,2024-03-26 19:00:00,-1,0,5518,2653,False,True,1,4,0,0,28,2024-03-27 02:40:42
143,12136,3922,700831,2024-03-26 19:00:00,-1,0,10525,4864,True,False,3,2,0,0,28,2024-03-31 02:41:00
144,12136,3922,691329,2024-03-26 19:15:00,5295,17332,479,447,True,False,2,0,0,0,28,2024-03-27 02:40:43
145,12136,3922,692534,2024-03-26 19:30:00,7376,35940,208,473,True,False,3,2,0,0,28,2024-03-31 02:41:03
146,12136,3922,699348,2024-03-26 19:30:00,2325,15000,4789,212,True,False,2,1,0,0,28,2024-03-31 02:41:04
147,12136,3922,699779,2024-03-26 19:30:00,2400,1000,654,2844,True,False,1,0,0,0,28,2024-03-28 02:41:59
148,12136,3922,689957,2024-03-26 19:45:00,3703,80733,448,459,False,False,2,2,0,0,28,2024-03-29 02:41:27
149,12136,3922,690893,2024-03-26 19:45:00,2318,48390,481,449,True,False,2,1,0,0,28,2024-03-28 02:42:01
150,12136,3922,690929,2024-03-26 19:45:00,178,45000,580,586,False,True,0,1,0,0,28,2024-03-31 02:41:10
151,12136,3922,693342,2024-03-26 19:45:00,4228,35742,476,475,False,True,0,1,0,0,28,2024-03-31 02:41:09
152,12136,3922,697066,2024-03-26 19:45:00,5306,16432,472,482,True,False,2,0,0,0,28,2024-03-31 02:41:10
153,12136,3922,698533,2024-03-26 19:45:00,1793,38500,474,465,True,False,6,1,0,0,28,2024-03-31 02:41:06
154,12136,3922,701212,2024-03-26 19:45:00,8813,0,582,2619,True,False,2,1,0,0,28,2024-03-27 02:40:49
155,12136,3922,697789,2024-03-26 20:00:00,2333,60000,478,207,True,False,3,2,0,0,28,2024-03-31 02:41:12
156,12136,3922,701261,2024-03-26 20:00:00,9932,85350,2620,477,False,True,2,4,0,0,28,2024-03-27 02:40:52
157,12136,3922,701262,2024-03-26 20:00:00,1561,45,2666,659,False,True,0,0,2,4,47,2024-03-28 02:42:07
158,12136,3922,696634,2024-03-26 20:30:00,1568,65000,164,205,False,False,3,3,0,0,28,2024-03-31 02:41:13
159,12136,3922,698290,2024-03-26 21:00:00,9487,35000,624,467,False,False,3,3,0,0,28,2024-03-31 02:41:14
160,12136,3922,700492,2024-03-26 21:00:00,5316,370,2849,657,True,False,2,0,0,0,28,2024-03-28 02:42:09
161,12136,3922,700833,2024-03-26 21:00:00,-1,0,4356,2621,False,False,1,1,0,0,28,2024-03-27 02:40:56
162,12136,3922,699099,2024-03-26 22:00:00,5368,45000,2869,8940,False,False,0,0,0,0,28,2024-03-27 02:40:56
163,12136,3922,698878,2024-03-27 01:00:00,4791,0,2650,215,False,False,1,1,0,0,28,2024-03-28 02:42:11
164,12136,3922,700832,2024-03-27 01:00:00,-1,0,8937,2845,False,False,1,1,0,0,28,2024-03-27 02:41:00
165,12136,3922,700834,2024-03-27 01:00:00,9931,0,2658,2647,False,True,0,1,0,0,28,2024-03-28 02:42:12
166,12136,3922,697144,2024-03-27 01:30:00,5095,50000,211,2649,True,False,4,1,0,0,28,2024-03-31 02:41:19
167,12136,3922,699140,2024-03-27 02:50:00,1722,20000,202,214,True,False,3,1,0,0,28,2024-03-28 02:42:14
168,12136,3922,701631,2024-04-06 07:00:00,-1,0,14948,10529,False,False,2,2,0,0,28,2024-04-08 03:28:43
169,12136,3922,701632,2024-04-07 10:00:00,-1,0,14948,10529,True,False,2,1,0,0,28,2024-04-08 03:28:47
170,12136,3922,702487,2024-05-13 23:00:00,4799,0,2627,2653,True,False,2,1,0,0,28,2024-05-14 02:33:11
171,12136,3922,702605,2024-05-15 14:00:00,9708,0,4319,5778,True,False,2,1,0,0,28,2024-05-27 02:18:49
172,12136,3922,702488,2024-05-15 23:00:00,4799,0,2627,2653,True,False,2,0,0,0,28,2024-05-16 02:33:30
173,12136,3922,702616,2024-05-19 14:00:00,9708,0,4319,5778,False,True,0,1,0,0,28,2024-05-19 18:42:45
174,12136,3922,702718,2024-05-26 20:00:00,-1,0,2651,13584,False,True,0,3,0,0,28,2024-05-27 02:29:47
175,12136,3922,702719,2024-05-27 00:00:00,6072,0,2652,2658,False,False,1,1,0,0,28,2024-06-04 02:15:05
176,12136,3922,700701,2024-06-01 01:30:00,1452,52273,203,204,True,False,1,0,0,0,28,2024-06-06 02:16:29
177,12136,3922,702360,2024-06-01 02:00:00,4820,15500,214,212,False,False,0,0,0,0,28,2024-06-02 02:25:44
178,12136,3922,702618,2024-06-02 09:00:00,8192,5831,4895,5778,False,False,0,0,0,0,28,2024-06-03 02:22:46
179,12136,3922,697146,2024-06-03 16:00:00,1468,15552,16721,580,False,True,0,2,0,0,28,2024-06-18 02:09:44
180,12136,3922,693935,2024-06-03 17:00:00,7333,8030,477,463,True,False,3,0,0,0,28,2024-06-05 02:20:54
181,12136,3922,698619,2024-06-03 18:00:00,8600,200,585,589,True,False,3,0,0,0,28,2024-06-15 02:12:31
182,12136,3922,698294,2024-06-03 18:45:00,4684,50061,448,452,True,False,3,0,0,0,28,2024-06-04 02:20:10
183,12136,3922,700917,2024-06-03 18:45:00,2316,42789,481,457,False,False,0,0,0,0,28,2024-06-04 02:20:11
184,12136,3922,698291,2024-06-04 16:00:00,5306,8389,472,579,True,False,2,1,0,0,28,2024-06-05 02:21:16
185,12136,3922,699071,2024-06-04 18:15:00,5764,14473,475,444,True,False,4,0,0,0,28,2024-06-05 02:21:17
186,12136,3922,695548,2024-06-04 18:30:00,1225,19024,473,462,False,False,0,0,0,0,28,2024-06-05 02:21:17
187,12136,3922,698534,2024-06-04 18:45:00,2352,43125,482,458,True,False,4,2,0,0,28,2024-06-05 02:21:19
188,12136,3922,698535,2024-06-04 18:45:00,4228,29424,476,480,True,False,2,1,0,0,28,2024-06-05 02:21:19
189,12136,3922,699060,2024-06-04 18:45:00,1793,37800,474,6757,True,False,2,1,0,0,28,2024-06-05 02:21:18
190,12136,3922,698879,2024-06-04 19:00:00,2792,25012,162,465,False,False,0,0,0,0,28,2024-06-05 02:21:20
191,12136,3922,699129,2024-06-05 16:00:00,8728,452,468,588,True,False,4,0,0,0,28,2024-06-06 02:19:12
192,12136,3922,698439,2024-06-05 17:00:00,2209,35522,479,466,True,False,2,1,0,0,28,2024-06-06 02:19:12
193,12136,3922,698484,2024-06-05 17:00:00,1392,19634,464,18272,True,False,3,0,0,0,28,2024-06-06 02:19:13
194,12136,3922,698284,2024-06-05 18:30:00,1153,19246,459,6775,True,False,2,0,0,0,28,2024-06-13 02:13:45
195,12136,3922,701987,2024-06-05 19:00:00,2981,25590,478,582,True,False,3,0,0,0,28,2024-06-13 02:13:45
196,12136,3922,699861,2024-06-05 19:30:00,8371,14300,164,587,True,False,5,0,0,0,28,2024-06-13 02:13:46
197,12136,3922,692532,2024-06-06 01:00:00,1419,57862,203,212,False,True,0,4,0,0,28,2024-06-20 02:10:05
198,12136,3922,702200,2024-06-06 16:00:00,1468,5004,16721,578,False,False,0,0,0,0,28,2024-06-21 02:10:26
199,12136,3922,700290,2024-06-06 18:45:00,322,36060,449,206,True,False,4,0,0,0,28,2024-06-13 02:14:04
200,12136,3922,702828,2024-06-07 12:00:00,-1,0,5518,8663,True,False,2,0,0,0,28,2024-06-14 02:13:47
201,12136,3922,701562,2024-06-07 15:30:00,5884,250,450,453,True,False,7,1,0,0,28,2024-06-19 02:11:17
202,12136,3922,698486,2024-06-07 16:00:00,4471,0,579,2619,True,False,2,1,0,0,28,2024-06-08 02:21:22
203,12136,3922,699800,2024-06-07 17:00:00,8600,0,585,581,True,False,3,1,0,0,28,2024-06-17 02:15:24
204,12136,3922,702335,2024-06-07 17:00:00,1667,21483,583,454,False,True,0,4,0,0,28,2024-06-13 02:14:35
205,12136,3922,695549,2024-06-07 18:00:00,1225,25097,473,589,False,False,0,0,0,0,28,2024-06-09 02:20:58
206,12136,3922,697147,2024-06-07 18:45:00,178,40159,580,458,False,False,2,2,0,0,28,2024-06-13 02:14:38
207,12136,3922,698438,2024-06-07 18:45:00,3703,81410,448,470,False,True,0,1,0,0,28,2024-06-13 02:14:36
208,12136,3922,700713,2024-06-07 18:45:00,4785,43000,471,457,True,False,3,1,0,0,28,2024-06-11 02:16:25
209,12136,3922,700918,2024-06-07 18:45:00,1541,45488,481,455,True,False,2,1,0,0,28,2024-06-09 02:20:59
210,12136,3922,701635,2024-06-08 00:30:00,5095,60000,211,210,False,False,0,0,0,0,28,2024-06-09 02:21:01
211,12136,3922,703368,2024-06-08 12:15:00,-1,0,10525,5782,True,False,1,0,0,0,28,2024-06-09 02:21:19
212,12136,3922,698292,2024-06-08 13:00:00,5306,11037,472,462,False,False,1,1,0,0,28,2024-06-18 02:11:32
213,12136,3922,699061,2024-06-08 16:00:00,6860,18731,475,474,False,False,1,1,0,0,28,2024-06-13 02:15:00
214,12136,3922,699072,2024-06-08 16:00:00,4982,46956,466,6757,False,True,0,3,0,0,28,2024-06-13 02:14:59
215,12136,3922,699102,2024-06-08 16:00:00,5090,0,483,445,True,False,3,2,0,0,28,2024-06-15 02:14:49
216,12136,3922,699104,2024-06-08 16:00:00,5943,19900,480,461,True,False,3,0,0,0,28,2024-06-13 02:14:58
217,12136,3922,698040,2024-06-08 16:45:00,7869,37500,482,477,False,True,1,2,0,0,28,2024-06-13 02:15:00
218,12136,3922,698482,2024-06-08 17:30:00,5295,23390,479,464,True,False,3,1,0,0,28,2024-06-13 02:15:01
219,12136,3922,698041,2024-06-08 18:00:00,1153,35287,459,582,True,False,3,0,0,0,28,2024-06-13 02:15:01
220,12136,3922,701680,2024-06-08 19:30:00,1631,19200,164,586,True,False,5,1,0,0,28,2024-06-13 02:15:02
221,12136,3922,699069,2024-06-08 21:30:00,4768,55494,660,208,False,True,1,5,0,0,28,2024-06-11 02:16:58
222,12136,3922,692533,2024-06-09 01:00:00,9928,85249,203,205,False,True,2,3,0,0,28,2024-06-10 02:19:16
223,12136,3922,698283,2024-06-09 18:45:00,3923,5000,6775,584,False,True,1,3,0,0,28,2024-06-19 02:12:26
224,12136,3922,699062,2024-06-09 18:45:00,2591,12000,162,452,True,False,1,0,0,0,28,2024-06-13 02:15:41
